レポート開始日,レポート終了日,広告の名前,キャンペーン名,広告セット名,"消化金額 (JPY)",購入,"購入 [クリックの1日後]",ウェブサイト購入,"ウェブサイト購入 [クリックの1日後]",インプレッション,クリック(すべて)
2020-08-01,2020-09-10,F0001_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,538,,,,,925,25
2020-08-01,2020-09-10,F0003_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,461,1,,1,,1808,25
2020-08-01,2020-09-10,F0004_1080-1080_T0002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,8529,27,3,27,3,45740,621
2020-08-01,2020-09-10,F0005_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,1151,3,,3,,2757,22
2020-08-01,2020-09-10,F0002_1280-720_T0002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,65669,112,20,112,20,327331,3849
2020-08-01,2020-09-10,F0007_1280-720_T0002_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,1599,7,,7,,6618,54
2020-08-01,2020-09-10,F0008_1080-1350_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,35219,71,8,71,8,148253,1461
2020-08-01,2020-09-10,F0001_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,466,,,,,3039,34
2020-08-01,2020-09-10,F0002_1280-720_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,45217,38,18,38,18,75801,1096
2020-08-01,2020-09-10,F0006_1080-1080_T0001_LP01_FBASPwat200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_デモグラALL_男女_20-65+_SP_PO_oCPM,2021,5,,5,,7808,55
2020-08-01,2020-09-10,F0003_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,563,,,,,590,6
2020-08-01,2020-09-10,F0007_1280-720_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1001,1,,1,,1415,17
2020-08-01,2020-09-10,F0004_1080-1080_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,27674,30,9,30,9,51959,873
2020-08-01,2020-09-10,F0005_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,1435,,,,,1092,10
2020-08-01,2020-09-10,F0008_1080-1350_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,37393,39,6,39,6,77420,985
2020-08-01,2020-09-10,F0006_1080-1080_T0001_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,3248,2,,2,,3888,52
2020-08-01,2020-09-10,F0011_1080-1350_T0002_LP01_FBASPwrt200728ZBFa3,【WebCV】_統合（タダス）,統合（タダス）_RTG7日_男女_20-65+_SP_PO_oCPM,14356,16,4,16,4,34279,495
